type,street,city,state,zip_code,beds,total_baths,sqft,year_built,sold_price,sold_date,county,stories,parking_garage
MULTI_FAMILY,675 Walker Ave,Reno,NV,89509,2,1,1108,1939,730000,7/1/2024,Washoe,2,0
SINGLE_FAMILY,10025 W Desert Canyon Dr,Reno,NV,89511,3,2.5,3247,2001,1450000,7/3/2024,Washoe,2,3
SINGLE_FAMILY,1594 Ridgegate Cir,Reno,NV,89523,3,2.5,1906,1984,585000,7/1/2024,Washoe,2,3
SINGLE_FAMILY,6412 Bonde Farms Ln,Reno,NV,89511,4,3,2531,2020,1350000,7/1/2024,Washoe,1,3
SINGLE_FAMILY,6686 Peppergrass Dr,Sparks,NV,89436,3,2.5,1801,2018,475000,7/1/2024,Washoe,2,2
SINGLE_FAMILY,2845 Show Jumper Ln,Reno,NV,89521,4,2.5,2303,2014,761500,7/1/2024,Washoe,2,3
SINGLE_FAMILY,625 Allerton Way,Sparks,NV,89441,4,3,2402,2024,623821,7/1/2024,Washoe,1,3
CONDOS,2450 Lymbery St,Reno,NV,89509,0,1,409,1978,140000,7/1/2024,Washoe,1,0
SINGLE_FAMILY,2255 Makenna Dr,Reno,NV,89521,4,3,2062,2013,800000,7/1/2024,Washoe,1,3
SINGLE_FAMILY,3380 Meridian Ln,Reno,NV,89509,4,3,4576,1986,997000,7/2/2024,Washoe,2,3
TOWNHOMES,625 Stacie Nicole Ln,Reno,NV,89503,2,2.5,1370,2007,360000,7/1/2024,Washoe,3,2
SINGLE_FAMILY,4763 Wood Thrush Ln,Sparks,NV,89436,4,2.5,2617,2006,565000,7/1/2024,Washoe,2,2
CONDOS,210 Lark Ct,Incline Village,NV,89451,2,1.5,989,1979,629000,7/1/2024,Washoe,1,1
SINGLE_FAMILY,4255 Jumbo Grade Way,Washoe Valley,NV,89704,3,2,1606,1980,625000,7/1/2024,Washoe,1,2
CONDOS,333 Ski Way,Incline Village,NV,89451,2,2,1064,1980,681800,7/1/2024,Washoe,2,0
SINGLE_FAMILY,2360 Watt St,Reno,NV,89509,3,2.5,2232,1942,670000,7/1/2024,Washoe,1,2
SINGLE_FAMILY,1365 Wakefield Trl,Reno,NV,89523,2,2,2458,2015,831500,6/28/2024,Washoe,1,3
SINGLE_FAMILY,1495 Veneto Dr,Sparks,NV,89434,2,2.5,1973,2003,610000,7/1/2024,Washoe,1,2
SINGLE_FAMILY,282 Saintsbury Ct,Sparks,NV,89441,5,3.5,2875,1999,1069000,7/2/2024,Washoe,1,3
SINGLE_FAMILY,10605 Autumn Walk Ln,Reno,NV,89521,3,3,2371,2005,839000,7/1/2024,Washoe,1,3
SINGLE_FAMILY,5040 Rhine Wine Dr,Sparks,NV,89436,3,2.5,2649,2006,725938,6/29/2024,Washoe,1,3
SINGLE_FAMILY,2255 Stone View Dr,Sparks,NV,89436,4,3,1923,1994,620000,7/1/2024,Washoe,2,3
SINGLE_FAMILY,545 Sun Mesa Dr,Sun Valley,NV,89433,4,2,2006,2006,505000,7/1/2024,Washoe,1,3
SINGLE_FAMILY,1635 Westmont Ln,Reno,NV,89521,3,2,1362,1997,555000,7/1/2024,Washoe,1,2
SINGLE_FAMILY,3610 Heavenly Valley Ln,Reno,NV,89509,4,3,2544,1978,830000,7/1/2024,Washoe,2,2
SINGLE_FAMILY,4367 Champion Ct,Sparks,NV,89436,4,3,2152,1993,569000,7/1/2024,Washoe,2,2
CONDOS,2944 Tierra Verde,Reno,NV,89512,2,1,891,1983,247500,6/28/2024,Washoe,1,0
SINGLE_FAMILY,7811 Lampasas Dr,Sparks,NV,89436,3,2.5,2220,2021,585000,6/28/2024,Washoe,2,2
SINGLE_FAMILY,5205 Canyon Crest Ct,Sparks,NV,89436,4,2.5,2074,1993,615000,6/28/2024,Washoe,1,3
SINGLE_FAMILY,5414 Cremello Way,Reno,NV,89511,3,3,2791,2021,1325000,6/28/2024,Washoe,2,2
TOWNHOMES,9900 Wilbur May Pkwy,Reno,NV,89521,2,2,1651,2003,465000,6/28/2024,Washoe,2,2
